Epoch   d_clean_loss    	    d_noisy_loss    	    g_loss  		        g_conditional_loss      timestamp
1       0.23112794756889343     0.2904853820800781      1.0953904390335083      0.9537360668182373      02:27:10.020948
2       0.22720210254192352     0.3007134795188904      0.6015422344207764      0.47540733218193054     02:35:15.054682
3       0.2540501058101654      0.2574213147163391      0.6003586649894714      0.503258228302002       02:43:18.034463
4       0.25893983244895935     0.2474074363708496      0.5358989238739014      0.412614643573761       02:51:21.709847
5       0.24335195124149323     0.2611384391784668      0.992181658744812       0.8750050067901611      02:59:26.505308
6       0.2529847323894501      0.24420806765556335     0.6929606795310974      0.5750046372413635      03:07:28.904636
7       0.25077351927757263     0.2500455975532532      0.48251184821128845     0.3552313446998596      03:15:31.624286
8       0.24653655290603638     0.2511751353740692      0.9099881649017334      0.786093533039093       03:23:33.730135
9       0.24253900349140167     0.2640593945980072      0.6998004913330078      0.5800043940544128      03:31:36.235364
10      0.2434496283531189      0.2741323411464691      0.8546779155731201      0.735027015209198       03:39:37.786166
11      0.23853802680969238     0.2702890932559967      0.6026300191879272      0.4730597138404846      03:47:39.469205
12      0.23628675937652588     0.22987136244773865     0.5675864815711975      0.43173837661743164     03:55:40.560619
13      0.25567662715911865     0.24323202669620514     0.41291630268096924     0.2847517728805542      04:03:43.072972
14      0.21691079437732697     0.23491863906383514     0.6892658472061157      0.5535399913787842      04:11:46.605687
15      0.28611478209495544     0.2141268104314804      0.35896193981170654     0.21122395992279053     04:19:48.949024
16      0.2063489407300949      0.23146308958530426     0.5889315009117126      0.44161826372146606     04:27:50.022348
17      0.2333228886127472      0.266503244638443       0.382345974445343       0.24250593781471252     04:35:50.902869
18      0.2815147936344147      0.21605417132377625     0.4238361418247223      0.26905548572540283     04:43:52.120699
19      0.19261617958545685     0.3390093743801117      0.4603050649166107      0.3393738269805908      04:51:52.777680
20      0.21434080600738525     0.3059903085231781      0.5522768497467041      0.39504924416542053     04:59:55.806938
21      0.21703176200389862     0.1837431788444519      0.5885276794433594      0.4373687207698822      05:07:57.969611
22      0.2708146572113037      0.2271042764186859      0.5199301242828369      0.37267714738845825     05:16:00.605287
23      0.24046435952186584     0.26216351985931396     0.3725430965423584      0.23772676289081573     05:24:02.499831
24      0.21203003823757172     0.24592581391334534     0.48068514466285706     0.3338910937309265      05:32:06.099014
25      0.22936375439167023     0.23028399050235748     0.45209139585494995     0.31379783153533936     05:40:09.226134
26      0.2729882001876831      0.19342587888240814     0.3981427550315857      0.24405407905578613     05:48:10.866800
27      0.20714493095874786     0.2717306315898895      0.496708482503891       0.35726848244667053     05:56:12.842221
28      0.2502680718898773      0.22311732172966003     0.46275073289871216     0.2982290983200073      06:04:15.198451
29      0.20198015868663788     0.18711106479167938     0.5331230163574219      0.3272981643676758      06:12:18.260351
