Epoch	d_clean_loss	d_noisy_loss	g_loss	g_conditional_loss	timestamp
1	3.289359824520943e-07	0.9999999403953552	99.99993133544922	99.99993133544922	2024-04-30 22:20:21.227023
2	6.58287779842226e-09	0.9999999403953552	100.00017547607422	100.00017547607422	2024-04-30 22:44:39.880084
3	0.12291321903467178	0.9999999403953552	100.00009155273438	100.00009155273438	2024-04-30 23:07:32.053981
4	0.03616674989461899	0.9999999403953552	100.00010681152344	100.00010681152344	2024-04-30 23:30:21.063078
5	0.0027309698052704334	0.9999999403953552	100.0001449584961	100.0001449584961	2024-04-30 23:53:08.414692
6	0.0001116035200539045	0.9999999403953552	100.00004577636719	100.00004577636719	2024-05-01 00:15:57.425157
7	5.935026365477825e-06	0.9999999403953552	100.00006866455078	100.00006866455078	2024-05-01 00:38:59.450353
8	2.4993846636789385e-07	0.9999999403953552	100.00006103515625	100.00006103515625	2024-05-01 01:01:48.936617
9	3.0758101843275654e-08	0.9999999403953552	99.99993896484375	99.99993896484375	2024-05-01 01:24:38.862443
10	3.2371709757228473e-09	0.9999999403953552	100.0	100.0	2024-05-01 01:47:27.801436
11	1.2197327592389229e-09	0.9999999403953552	100.00004577636719	100.00004577636719	2024-05-01 02:10:26.788253
12	4.791813612570195e-10	0.9999999403953552	100.00001525878906	100.00001525878906	2024-05-01 02:33:19.433267
13	3.5360708805498575e-10	0.9999999403953552	99.99988555908203	99.99988555908203	2024-05-01 02:56:11.682272
14	1.804410232342235e-10	0.9999999403953552	100.00006866455078	100.00006866455078	2024-05-01 03:19:04.521186
15	1.4796922020998693e-10	0.9999999403953552	100.00008392333984	100.00008392333984	2024-05-01 03:42:00.460105
16	1.1428208379626881e-10	0.9999999403953552	100.0000228881836	100.0000228881836	2024-05-01 04:04:57.302639
17	1.6097920219060313e-10	0.9999999403953552	100.0000228881836	100.0000228881836	2024-05-01 04:27:49.404470
18	9.30055893411108e-11	0.9999999403953552	100.00006103515625	100.00006103515625	2024-05-01 04:50:43.867215
19	8.988736144299736e-11	0.9999999403953552	100.00008392333984	100.00008392333984	2024-05-01 05:13:45.132402
20	7.415816571931799e-11	0.9999999403953552	99.99999237060547	99.99999237060547	2024-05-01 05:36:58.623187
21	6.801784135923583e-11	0.9999999403953552	100.00006103515625	100.00006103515625	2024-05-01 06:00:04.918612
22	5.6721079222388227e-11	0.9999999403953552	100.00004577636719	100.00004577636719	2024-05-01 06:22:59.604003
23	3.9210711066939297e-11	0.9999999403953552	100.00008392333984	100.00008392333984	2024-05-01 06:46:13.855012
24	4.17146629738685e-11	0.9999999403953552	100.00016784667969	100.00016784667969	2024-05-01 07:09:26.676333
25	3.6315898205296904e-11	0.9999999403953552	100.00006103515625	100.00006103515625	2024-05-01 07:32:30.857056
26	3.1847760539882586e-11	0.9999999403953552	100.00006103515625	100.00006103515625	2024-05-01 07:55:40.132162
27	3.0269366874113857e-11	0.9999999403953552	100.00019073486328	100.00019073486328	2024-05-01 08:18:58.600903
28	3.452533051118145e-11	0.9999999403953552	99.99993896484375	99.99993896484375	2024-05-01 08:42:16.952102
29	3.2555336898498766e-11	0.9999999403953552	100.00019073486328	100.00019073486328	2024-05-01 09:05:33.503148
30	3.725603853199644e-11	0.9999999403953552	100.00001525878906	100.00001525878906	2024-05-01 09:28:33.175152
31	2.7167939772865246e-11	0.9999999403953552	99.99998474121094	99.99998474121094	2024-05-01 09:51:39.913932
