Epoch	d_clean_loss	d_noisy_loss	g_loss	g_conditional_loss	time
1	9.356609931288062e-10	0.9998787641525269	100.00399017333984	100.00399017333984	13:52:01.256059
2	1.3899980721987504e-08	0.9995308518409729	100.42292785644531	99.99372100830078	13:53:18.010776
3	6.791069608880207e-06	0.9991744160652161	100.00336456298828	100.00336456298828	13:54:33.466751
4	7.853323040762916e-06	0.9919683337211609	100.01050567626953	100.00025177001953	13:55:49.326956
5	0.16860170662403107	0.3041135370731354	100.1410903930664	99.99934387207031	13:57:05.166865
6	0.07780245691537857	0.45369747281074524	100.0582275390625	100.00393676757812	13:58:20.985622
7	0.022690143436193466	0.6566022038459778	100.01879119873047	99.99983978271484	13:59:36.720561
8	0.007252166513353586	0.7544273734092712	100.00666046142578	99.99772644042969	14:00:52.437956
9	0.003138201078400016	0.8676195740699768	100.00487518310547	100.00235748291016	14:02:08.107075
10	0.0017580941785126925	0.8733788132667542	99.99813079833984	99.99581909179688	14:03:23.691905
11	0.0010047926334664226	0.9066752195358276	100.0026626586914	100.0014877319336	14:04:39.335077
12	0.0006510675302706659	0.927918016910553	99.99559783935547	99.9948501586914	14:05:54.977396
13	0.00017905245476868004	0.9566814303398132	100.00645446777344	100.00614929199219	14:07:10.666375
14	6.597543688258156e-05	0.972812831401825	99.99346160888672	99.99333953857422	14:08:26.331712
15	6.682980165351182e-05	0.9698603749275208	99.99524688720703	99.9950942993164	14:09:41.976470
16	3.4797703847289085e-05	0.9796811938285828	100.00530242919922	100.00523376464844	14:10:57.597131
17	2.2728296244167723e-05	0.9843450784683228	99.99723052978516	99.9971923828125	14:12:13.187640
18	0.00011739241745090112	0.9671127200126648	99.98885345458984	99.98870086669922	14:13:28.590501
19	0.00010746739280875772	0.9751406311988831	100.00244903564453	100.00234985351562	14:14:43.980968
20	1.9369012079550885e-05	0.9824244379997253	100.00273132324219	100.002685546875	14:15:59.367015
21	1.0263921467412729e-05	0.9863554239273071	100.00788879394531	100.00785827636719	14:17:15.820097
22	8.406065717281308e-06	0.9869879484176636	99.99711608886719	99.9970932006836	14:18:31.386736
23	8.037117368075997e-06	0.9873948097229004	99.99639892578125	99.99637603759766	14:19:46.974069
24	1.2674629033426754e-05	0.9892922043800354	99.99484252929688	99.99482727050781	14:21:02.569361
25	1.672236612648703e-05	0.9899774789810181	100.00374603271484	100.00373077392578	14:22:18.055627
26	1.2117214282625355e-05	0.9846231341362	99.99795532226562	99.99791717529297	14:23:33.295182
27	1.5946512576192617e-05	0.9874392151832581	100.00214385986328	100.00211334228516	14:24:48.495619
28	1.673156839387957e-05	0.9866229891777039	99.99983215332031	99.99980926513672	14:26:03.995998
29	7.696581633354072e-06	0.9885987043380737	100.0029067993164	100.00288391113281	14:27:19.521638
30	8.987629371404182e-06	0.9902005195617676	100.0036849975586	100.00366973876953	14:28:35.048489
31	8.090813025773969e-06	0.9916725754737854	100.00340270996094	100.00338745117188	14:29:50.574024
32	5.444901944429148e-06	0.9874273538589478	100.01085662841797	100.01083374023438	14:31:05.777863
33	3.30846842189203e-06	0.9894692897796631	100.00116729736328	100.00112915039062	14:32:20.857383
34	4.528300451056566e-06	0.9888129830360413	100.00250244140625	100.0024642944336	14:33:35.913070
35	3.855331669910811e-06	0.9276228547096252	100.00956726074219	100.00627136230469	14:34:51.020928
36	6.852873866591835e-06	0.7598021626472473	100.13260650634766	99.99434661865234	14:36:06.120569
37	8.850350241118576e-06	0.7770635485649109	100.44065856933594	100.00180053710938	14:37:21.216453
38	9.921337550622411e-06	0.3207065165042877	100.41744232177734	99.9985580444336	14:38:36.463918
39	2.6888190404861234e-05	0.00019235887157265097	100.49603271484375	99.99737548828125	14:39:51.589914
40	1.0084831046697218e-05	0.2710558772087097	100.50624084472656	100.0062484741211	14:41:06.708669
41	5.669222446158528e-05	2.062038084280247e-31	100.50067138671875	100.00067138671875	14:42:23.181686
42	8.613969839643687e-06	1.4473865615094672e-33	100.50984954833984	100.00984954833984	14:43:38.276560
43	1.278045942854078e-06	9.154405005535986e-24	100.51127624511719	100.01127624511719	14:44:53.348171
44	1.8741313567716134e-07	8.572256674031081e-14	100.50572204589844	100.00572204589844	14:46:08.449544
45	8.209901380951123e-08	3.394768612088547e-26	100.49839782714844	99.99839782714844	14:47:23.513462
46	1.1263995247645653e-06	0.5601387619972229	100.0341796875	100.0087890625	14:48:38.525591
47	8.959530006791283e-09	0.10139595717191696	100.50355529785156	100.00355529785156	14:49:53.598415
48	1.1718454970832681e-06	1.2391646374775401e-18	100.4999771118164	99.9999771118164	14:51:08.666770
49	1.4490504440800578e-07	4.0323148469142106e-20	100.49372100830078	99.99372100830078	14:52:23.697537
