Epoch	d_clean_loss	d_noisy_loss	g_loss	g_conditional_loss	time
1	0.7945277690887451	0.016284175217151642	1.3877294063568115	0.9122065305709839	12:16:05.888573
2	0.2736722528934479	0.20792528986930847	0.979066789150238	0.8243629932403564	12:22:29.449836
3	0.27004945278167725	0.22835953533649445	0.8430436849594116	0.7010449171066284	12:28:50.448437
4	0.25408869981765747	0.24434389173984528	0.7817761898040771	0.6500531435012817	12:35:13.595594
5	0.2519911825656891	0.24879886209964752	0.7705902457237244	0.643248975276947	12:41:38.172970
6	0.25152161717414856	0.24837902188301086	0.7493820190429688	0.6233246922492981	12:48:00.452906
7	0.249155193567276	0.24975216388702393	0.7132455110549927	0.587975800037384	12:54:22.613283
8	0.2492891550064087	0.24822896718978882	0.7050739526748657	0.5758044123649597	13:00:45.047701
9	0.24547703564167023	0.24796022474765778	0.7202838659286499	0.5885990262031555	13:07:06.642935
10	0.25145643949508667	0.24621200561523438	0.6305620670318604	0.5009305477142334	13:13:28.322185
11	0.2478066086769104	0.2495032101869583	0.641647458076477	0.5159753561019897	13:19:50.246263
12	0.24826164543628693	0.24950289726257324	0.5905133485794067	0.464063823223114	13:26:13.428590
13	0.24849773943424225	0.24969668686389923	0.6007398962974548	0.47657227516174316	13:32:35.500180
14	0.24601903557777405	0.25363513827323914	0.5749184489250183	0.4497205317020416	13:38:57.400387
15	0.2519177496433258	0.24671098589897156	0.556903600692749	0.43206024169921875	13:45:18.876322
16	0.25082868337631226	0.2475869059562683	0.5606999397277832	0.433965265750885	13:51:40.723861
17	0.2470414787530899	0.25001731514930725	0.5429704785346985	0.4160844385623932	13:58:02.562049
18	0.24553269147872925	0.2487339973449707	0.5708587169647217	0.442918986082077	14:04:24.552935
19	0.24939365684986115	0.24241960048675537	0.6249634623527527	0.4937478303909302	14:10:46.431711
20	0.25254157185554504	0.24321573972702026	0.5284848213195801	0.3991621136665344	14:17:08.164136
21	0.25823280215263367	0.24000072479248047	0.5327088236808777	0.40634968876838684	14:23:32.025691
22	0.24489565193653107	0.2516111433506012	0.5261130332946777	0.39959093928337097	14:29:53.888727
23	0.24154166877269745	0.2508904039859772	0.5588107109069824	0.4279838502407074	14:36:15.763214
24	0.24678580462932587	0.24779635667800903	0.5327800512313843	0.40442779660224915	14:42:37.736948
25	0.24638032913208008	0.24775023758411407	0.511329174041748	0.38243430852890015	14:49:00.093505
26	0.25005605816841125	0.244461327791214	0.503024697303772	0.3741495609283447	14:55:22.279255
27	0.25175565481185913	0.25631001591682434	0.584097146987915	0.44997739791870117	15:01:44.572717
28	0.2490149289369583	0.2453988641500473	0.4921115040779114	0.3624125123023987	15:08:06.694598
29	0.24986031651496887	0.2448948621749878	0.4863259792327881	0.3593127131462097	15:14:28.648365
30	0.24741557240486145	0.24802085757255554	0.4614070951938629	0.3348040282726288	15:20:51.533906
31	0.24886052310466766	0.24388766288757324	0.5018541812896729	0.3728365898132324	15:27:14.326855
32	0.2526598870754242	0.24905526638031006	0.4630633592605591	0.337997704744339	15:33:38.155086
33	0.2488512545824051	0.250659316778183	0.4920310378074646	0.36671122908592224	15:40:00.109210
34	0.25284963846206665	0.24614733457565308	0.4814532995223999	0.35319754481315613	15:46:22.430050
35	0.2441396862268448	0.2533057630062103	0.48676514625549316	0.3605286478996277	15:52:44.420392
36	0.24761484563350677	0.2531125247478485	0.4547841548919678	0.32878339290618896	15:59:06.872674
37	0.24721978604793549	0.24986043572425842	0.4415651857852936	0.3153332471847534	16:05:29.109845
