Epoch	d_clean_loss	d_noisy_loss	g_loss	g_conditional_loss	time
1	0.22393366694450378	0.2965949475765228	1.0897200107574463	0.9726428389549255	12:08:32.545397
2	0.19414576888084412	0.2986472249031067	1.1571842432022095	1.050142526626587	12:09:34.953933
3	0.13123565912246704	0.24487075209617615	1.1706706285476685	1.0405092239379883	12:10:36.319190
4	0.10734892636537552	0.2051677405834198	1.1082353591918945	0.9514471292495728	12:11:37.772466
5	0.16845741868019104	0.0776025652885437	1.0987029075622559	0.929560124874115	12:12:39.319821
6	0.13772130012512207	0.045123569667339325	1.2330844402313232	0.8982284665107727	12:13:40.868580
7	0.12440764158964157	0.05163591727614403	1.1316962242126465	0.8219872713088989	12:14:42.415569
8	0.21003560721874237	0.046083368360996246	1.1973872184753418	0.8469902873039246	12:15:43.853276
9	0.17495973408222198	0.06335977464914322	1.2260314226150513	0.8951272964477539	12:16:45.293699
10	0.1844116598367691	0.07155773788690567	1.2024348974227905	0.8634436130523682	12:17:46.781724
11	0.17898620665073395	0.0770038366317749	1.1579097509384155	0.7981889247894287	12:18:48.205499
12	0.18116401135921478	0.06179862096905708	1.1132174730300903	0.7587065696716309	12:19:49.668150
13	0.15845349431037903	0.06032302603125572	1.2249338626861572	0.8491626977920532	12:20:51.123558
14	0.15973778069019318	0.1912071257829666	1.0011184215545654	0.7651196122169495	12:21:52.556792
15	0.14059460163116455	0.23364725708961487	1.018581509590149	0.8200176954269409	12:22:53.896691
16	0.2096356898546219	0.22093874216079712	0.8859426379203796	0.7044380903244019	12:23:55.264394
17	0.218359112739563	0.24527771770954132	0.8764222860336304	0.7274124026298523	12:24:56.626114
18	0.178488090634346	0.2845822274684906	0.7854543924331665	0.6658464670181274	12:25:58.035384
19	0.16764919459819794	0.28506526350975037	0.8037559986114502	0.6701748371124268	12:26:59.409799
20	0.17910060286521912	0.28676483035087585	0.7460145950317383	0.6147326231002808	12:28:00.760434
21	0.17533832788467407	0.291552871465683	0.7183282971382141	0.5997211933135986	12:29:03.031568
22	0.17393144965171814	0.28500330448150635	0.7734394073486328	0.6410397887229919	12:30:04.366294
23	0.17174488306045532	0.26749855279922485	0.7762970924377441	0.6488007307052612	12:31:05.684906
24	0.2101087123155594	0.26759636402130127	0.7582321763038635	0.6413781642913818	12:32:07.038527
25	0.178442120552063	0.2757483124732971	0.7653471827507019	0.6282962560653687	12:33:08.303516
26	0.24116502702236176	0.22261358797550201	0.7523942589759827	0.605095624923706	12:34:09.564611
27	0.24647320806980133	0.21618396043777466	0.713072657585144	0.5622556209564209	12:35:10.928426
28	0.26583248376846313	0.215985506772995	0.8058934211730957	0.6617240905761719	12:36:12.329054
29	0.27194198966026306	0.21831107139587402	0.7202911972999573	0.5764930844306946	12:37:13.658513
30	0.24861690402030945	0.22014905512332916	0.8142498731613159	0.6661935448646545	12:38:15.057564
31	0.2705325782299042	0.1982511281967163	0.7473235726356506	0.6198053956031799	12:39:16.469472
32	0.19907167553901672	0.22035880386829376	0.7515449523925781	0.6020364761352539	12:40:17.890952
33	0.24812348186969757	0.2059318870306015	0.7211472392082214	0.5745620131492615	12:41:19.290986
34	0.24852178990840912	0.27569133043289185	0.7181733250617981	0.6025046706199646	12:42:20.635403
35	0.24713604152202606	0.2672751247882843	0.631043553352356	0.5041372776031494	12:43:21.930858
36	0.25725671648979187	0.2365066558122635	0.6590307950973511	0.5288791060447693	12:44:23.242991
37	0.24797365069389343	0.25483936071395874	0.6594327688217163	0.5302881598472595	12:45:24.612470
38	0.25403469800949097	0.24362021684646606	0.5942890048027039	0.4605877995491028	12:46:26.026042
39	0.261999249458313	0.24019639194011688	0.6148382425308228	0.4832177460193634	12:47:27.458315
40	0.24764889478683472	0.2446584701538086	0.5918163061141968	0.46625664830207825	12:48:28.897405
41	0.25978216528892517	0.23729658126831055	0.64066481590271	0.5116782188415527	12:49:31.811543
42	0.21949441730976105	0.24404267966747284	0.6468836069107056	0.5099336504936218	12:50:33.199591
43	0.24599897861480713	0.2461162805557251	0.6428974270820618	0.5149638056755066	12:51:34.549597
44	0.268543541431427	0.23772835731506348	0.562274694442749	0.433320552110672	12:52:35.910501
45	0.24375250935554504	0.2567848861217499	0.6124094724655151	0.48549920320510864	12:53:37.398911
46	0.24581439793109894	0.25787174701690674	0.6054010391235352	0.46967995166778564	12:54:38.889421
47	0.22474466264247894	0.228034108877182	0.7018445134162903	0.5752553343772888	12:55:40.360452
48	0.24017703533172607	0.21916304528713226	0.677914023399353	0.5352248549461365	12:56:41.773832
49	0.2569880187511444	0.24261096119880676	0.6427156925201416	0.5036532878875732	12:57:43.471223
50	0.2444514036178589	0.2538398206233978	0.5774934887886047	0.44774553179740906	12:58:44.918425
51	0.23881423473358154	0.25710469484329224	0.5942282676696777	0.4695940613746643	12:59:46.324304
52	0.23755545914173126	0.2545216977596283	0.6361578106880188	0.5085041522979736	13:00:47.748349
53	0.2447192370891571	0.25202837586402893	0.5669407844543457	0.4412709176540375	13:01:49.253440
54	0.24696192145347595	0.2471928745508194	0.5849742293357849	0.4565191864967346	13:02:50.757399
55	0.2541200518608093	0.24243541061878204	0.6144731640815735	0.49287065863609314	13:03:52.232549
56	0.2718620002269745	0.2689095735549927	0.6407719254493713	0.519798219203949	13:04:53.777753
57	0.2662336528301239	0.23719127476215363	0.573637843132019	0.4492856562137604	13:05:55.229061
58	0.24408525228500366	0.2502926290035248	0.5395393371582031	0.4172159433364868	13:06:56.858554
59	0.2471228688955307	0.24834424257278442	0.5750589966773987	0.4426560401916504	13:07:58.370424
